event_id,basin,patch_id,flood_date,pre_s1_date,post_s1_date,pre_post_days,orbit_pass,relative_orbit,pre_relative_orbit,post_relative_orbit,pre_absolute_orbit,post_absolute_orbit,mission,orbit_pass_matched,epsg,min_lat,max_lat,min_lon,max_lon,flood_pixel_percentage,valid_pixel_percentage,nodata_fraction,row,col,export_task_id,pre_selection_reason,post_selection_reason
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r003_c021,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1881214.6392928439,1883774.6392928439,387948.63443671475,390508.63443671475,0.5,100.0,0.0,3,21,7BEFEO43E7PWNML3GVVHYCFV,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r006_c021,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1888894.6392928439,1891454.6392928439,387948.63443671475,390508.63443671475,0.51,100.0,0.0,6,21,FANXFA5J3YHIVFBG5BG5EAHP,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r035_c002,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1963134.6392928439,1965694.6392928439,339308.63443671475,341868.63443671475,0.51,98.85,0.0115,35,2,ZOKLR4ZP3Y6EW24HA2BVXYW4,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r038_c004,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1970814.6392928439,1973374.6392928439,344428.63443671475,346988.63443671475,0.49,99.68,0.0032,38,4,SBRYCMAC5SRN6O5SBGO7EN5K,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r033_c008,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1958014.6392928439,1960574.6392928439,354668.63443671475,357228.63443671475,0.53,99.66,0.0034,33,8,TKZHIQXSSCXKB54IORSUIHNE,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r039_c003,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1973374.6392928439,1975934.6392928439,341868.63443671475,344428.63443671475,0.53,99.15,0.0085,39,3,SRFR67SF3S2BX2V2QTN47GVU,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r020_c014,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1924734.6392928439,1927294.6392928439,370028.63443671475,372588.63443671475,0.54,99.81,0.0019,20,14,F6SRKY2N43TRS3AWAMD6WYR5,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r003_c014,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1881214.6392928439,1883774.6392928439,370028.63443671475,372588.63443671475,0.45,98.16,0.0184,3,14,5U5HK5VL2446Q73FJZQT3PKI,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r041_c011,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1978494.6392928439,1981054.6392928439,362348.63443671475,364908.63443671475,0.45,100.0,0.0,41,11,JXSNAKJYIQF55RJ34MI7WY7S,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
cagayan_2024-10-27,cagayan,cagayan_2024-10-27_r042_c012,2024-10-27,2024-10-14,2024-11-07,24,DESCENDING,32,32,32,,,,True,EPSG:32651,1981054.6392928439,1983614.6392928439,364908.63443671475,367468.63443671475,0.55,100.0,0.0,42,12,ARYFHRDWI4QMZSMKI6A3G6T2,"Latest valid S1 IW VV+VH scene strictly before flood_date 2024-10-27 (min 1 day gap), within 24-day pre window (2024-10-03 .. 2024-10-26), pass=DESCENDING.","Earliest valid S1 IW VV+VH scene at-or-after flood_date 2024-10-27, within 14-day post window (2024-10-27 .. 2024-11-10)."
